id,name,gender,popularity
12140,Mamoru Oshii,2,1.982
9833,Joel Schumacher,2,5.531
17111,Parkpoom Wongpoom,2,0.6
558,Sam Raimi,2,17.589
809,Conrad Vernon,2,11.028
2567,Martin Scorsese,2,14.656
844,Wong Kar-wai,2,9.716
1538,Michael Mann,2,9.692
10625,Mark Waters,2,2.065
652,Wolfgang Petersen,2,7.112
1997,Jean-Jacques Annaud,2,4.036
11636,Benny Chan,2,3.711
421,Wes Anderson,2,16.373
401,Zach Braff,2,11.768
1777,Michael Moore,2,6.546
14292,Gavin O'Connor,2,4.366
9675,Alexander Payne,2,1.533
924,Zack Snyder,2,13.321
15775,Gil Junger,2,5.835
11836,Stephen Hillenburg,2,2.829
4836,Matthew Vaughn,2,7.595
2048,Alex Proyas,2,4.505
12153,Keenen Ivory Wayans,2,8.631
11208,Paul McGuigan,2,2.637
2288,Mike Nichols,2,2.177
1824,Peter Segal,2,8.37
11774,Brad Silberling,2,2.002
2023,Joe Johnston,2,9.045
14337,Shane Carruth,2,1.391
8193,Jared Hess,2,3.693
10045,Pierre Morel,2,1.393
57112,Massimo Venier,2,2.904
9372,Morgan Spurlock,2,3.319
10096,Gary Winick,2,0.631
10591,Luke Greenfield,2,1.703
8699,Adam McKay,2,6.794
5255,Robert Zemeckis,2,8.57
3989,Trey Parker,2,10.207
11130,Garry Marshall,2,3.364
1487,Guillermo del Toro,2,20.075
21385,Donovan Cook,2,1.686
2059,Jon Turteltaub,2,8.277
1586,David Koepp,2,2.886
11430,Bradley Raymond,2,1.025
163,Steven Soderbergh,2,7.112
9352,Jeff Schaffer,2,2.907
14024,Sean McNamara,2,2.578
11247,Mark Rosman,2,2.52
11282,Danny Leiner,2,1.83
2789,David Twohy,2,3.291
435,Roland Emmerich,2,8.55
12242,Lynne Southerland,1,0.6
16617,Renny Harlin,2,6.102
14462,Jonathan Demme,2,5.096
6947,M. Night Shyamalan,2,8.631
14442,Tommy O'Haver,2,1.094
10677,Guy Ferland,2,3.57
11128,Jay Russell,2,0.84
4380,Peter Chelsom,2,1.971
11081,D. J. Caruso,2,4.71
9759,David R. Ellis,2,1.887
1577,Alexander Witt,2,1.988
9472,Rawson Marshall Thurber,2,3.478
11358,Kevin Bray,2,4.609
21778,Alain Chabat,2,6.005
7131,Stephen Sommers,2,3.787
7220,Jonathan Hensleigh,2,1.439
1599,David O. Russell,2,3.135
9477,Antoine Fuqua,2,6.43
9801,Beeban Kidron,1,1.015
3040,Timur Bekmambetov,2,4.952
14207,Peter Winther,2,3.107
693,Jay Roach,2,5.489
11025,Dennie Gordon,1,1.352
14844,Andy Cadiff,2,0.707
11137,Martha Coolidge,1,3.208
11823,Richard Loncraine,2,1.348
13673,Joe Roth,2,4.289
10589,Brett Ratner,2,3.47
13969,Forest Whitaker,2,21.754
4599,Garry Marshall,2,3.364
5516,Ethan Coen,2,3.712
9541,Kevin Smith,2,9.834
60672,Olivier Dahan,2,1.567
13700,John Sanford,2,0.716
11024,Raja Gosnell,2,7.006
10555,Rob Letterman,2,0.632
11099,Omar Naim,0,0.74
2539,James L. Brooks,2,5.339
5966,John Hamburg,2,2.078
1901,Paul Weitz,2,3.711
11866,John Moore,2,1.312
10145,Joseph Ruben,2,2.386
1966,Oliver Stone,2,10.275
10204,Frank Coraci,2,2.457
10740,Jonathan Glazer,2,1.218
8555,Christopher Smith,2,3.287
395,Paul W. S. Anderson,2,12.095
1970,Takashi Shimizu,2,2.85
36648,David S. Goyer,2,7.407
5137,Kerry Conran,2,0.6
8849,Charles Shyer,2,2.649
9384,Todd Phillips,2,10.189
56903,Luca Lucini,2,1.96
2122,Howard Deutch,2,8.393
9890,Frank Oz,2,8.769
438,Ernie Barbarash,2,3.222
8920,Peter Hewitt,2,3.672
11132,Sara Sugarman,1,2.481
11045,Tim Story,2,2.746
10762,Steven Brill,2,2.847
17047,Kevin Allen,2,1.922
11249,Don Mancini,2,3.178
11237,Dwight H. Little,2,3.66
11026,Renny Harlin,2,6.102
314,Pitof,2,3.674
4348,Joe Wright,2,4.201
674,Mike Newell,2,5.707
142,Ang Lee,2,6.257
272,Christopher Nolan,2,14.387
1904,Rob Marshall,2,4.773
9912,Roger Donaldson,2,4.474
1544,Ol Parker,2,8.57
11171,Gregg Araki,2,4.253
4550,Park Chan-wook,2,8.304
7214,Thomas Carter,2,4.021
921,Ron Howard,2,19.622
3933,Mike Johnson,2,0.6
11344,Kim Jee-woon,2,4.427
69,James Mangold,2,16.848
501,Werner Herzog,2,6.979
1023,Anders Thomas Jensen,2,2.153
187,Frank Miller,2,3.462
11661,Christian Carion,2,3.56
1895,George Lucas,2,13.94
16320,Joss Whedon,2,10.564
116,Woody Allen,2,14.092
13932,Brad Bird,2,11.016
1830,Andrew Niccol,2,5.529
8923,Lexi Alexander,1,1.075
1640,Paul Haggis,2,4.364
